Amenity Type,Name,Latitude,Longitude
restaurant,ramada,25.4586730,81.8587279
restaurant,kahna shyam,25.4565644,81.8598892
restaurant,breakfast centre,25.0182224,82.3601259
restaurant,Forty Wings,25.4033317,81.8682416
restaurant,Kadir Sweets,25.4029389,81.8691933
restaurant,Shaam Restaurant,25.4071555,81.8674795
restaurant,Alveena Food City,25.4012194,81.8689299
restaurant,Sethi Punjabi Dhaba,25.3907765,81.8627541
restaurant,Pizza Hut,25.4505795,81.8304807
restaurant,Tandoor,25.4504020,81.8315022
restaurant,Busybee,25.4026598,81.8686437
restaurant,Higgins IX CI,25.4110742,81.8429396
restaurant,Habib Hotel,25.3990652,81.8632979
restaurant,Mishthi,25.3997775,81.8670336
restaurant,BIKANER,25.4514360,81.8324604
restaurant,Pizza Hut,25.4559442,81.8355087
restaurant,Rustic Kitchen,25.4571074,81.8352164
restaurant,Curry Leaf,25.4551480,81.8374386
restaurant,Unknown,25.3763903,81.8497630
restaurant,Unknown,25.4497703,81.7820493
restaurant,Unknown,25.4498304,81.7829184
restaurant,Unknown,25.4502226,81.7836833
restaurant,Unknown,25.4503260,81.7834543
restaurant,Unknown,25.4496908,81.7836304
restaurant,Kailash Parbat,25.4519558,81.8349982
restaurant,CHICAGO PIZZA,25.4520503,81.8352836
restaurant,Royal Castle,25.4065503,81.8679293
restaurant,New Zaika,25.4025606,81.8695416
restaurant,Al Zaika,25.4023521,81.8695444
restaurant,Mustfa Chicken Biryani,25.4029997,81.8692041
restaurant,Clock Tower,26.2753215,82.4711415
restaurant,Underground Cafe,26.2752273,82.4714497
restaurant,Abhisek Fastfood Corner,26.2714313,82.4679498
restaurant,Pizza Hut,26.2187975,81.2414488
restaurant,Ratnasagar,25.4642037,81.8697354
restaurant,Hot Pizza Ace,25.4633995,81.8649332
restaurant,Anjali Restaurant,25.4623529,81.8663355
restaurant,Sangam Bhauri Chokha Corner,26.2713297,82.4674623
restaurant,jaiswal dosa,25.4463673,81.8521893
restaurant,Lucky Restaurent,26.3131277,82.7334572
restaurant,Anu food,26.3126076,82.7416851
restaurant,Raj bhojnalya,26.3091471,82.7429973
restaurant,G,26.3117197,82.7337101
restaurant,Nate Bhoj,26.3091850,82.7426841
restaurant,Anand food,26.3132223,82.7350224
restaurant,Tasty foody,26.3128732,82.7391876
restaurant,*,26.3146034,82.7347176
restaurant,masti,26.3150284,82.7426925
restaurant,Raju Dhaba,26.3141557,82.7391961
restaurant,Masala Restaurent,26.3134044,82.7376214
restaurant,Yadav restaurent,26.3101640,82.7368172
restaurant,Lata food,26.3078873,82.7368764
restaurant,Swadistya,26.3088435,82.7380955
restaurant,YUM,26.3082060,82.7408724
restaurant,Awantika Restaurant,26.2654591,82.0733727
restaurant,La pino'z pizza,26.2641184,82.0744097
restaurant,Shrvn Bati Choke,26.2632883,82.0713928
restaurant,Khawaza fire works,26.2609116,82.0731751
restaurant,Rahul Special Momos,26.2640745,82.0740397
restaurant,Janta restaurant,26.2754207,82.0775066
restaurant,Mela Restaurant,25.4514020,81.8348756
restaurant,Dhaba Special,25.2666213,82.4916082
restaurant,Fika,25.4492806,81.8396079
restaurant,The Indian Food Plaza,25.3921262,81.8637123
restaurant,Haldiram Bhujiawala,25.4555439,81.8341134
restaurant,William John's Pizza,25.4552933,81.8350288
restaurant,CAFÉ 60 FEET,25.4310062,81.8035913
restaurant,Punjabi Dhaba,24.8255926,81.6569452
