Amenity Type,Name,Latitude,Longitude,road,suburb,state_district,road_count,suburb_count,district_count
hospital,"Government Hospital, Koodsoo",27.5447356,73.3467786,SH87A,,Bikaner,1,0,150
hospital,Governmet Hospital Sadoo Bari,27.6386501,73.9901709,,,Churu,0,0,1
hospital,"Government Hospital, Alai",27.3293082,73.5819848,NH62,,Nagaur,13,0,44
hospital,Governmet Hospital Shribalaji,27.4246629,73.5514241,NH62,,Nagaur,13,0,44
hospital,"Government Hospital, Mundwa",27.060861,73.820706,SH39,,Nagaur,1,0,44
hospital,"Government Hospital, Champasar",27.2657175,73.0659439,Amritsar–Jamnagar Expressway,,Jodhpur(Rural),2,0,12
hospital,"Government Hospital, Chawandiya",27.172682,73.419899,SH19,,Nagaur,21,0,44
hospital,"Government Hospital, Nagaur",27.207984,73.737215,SH19;90,,Nagaur,10,0,44
hospital,"Government Hospital, Karlu",27.00556,73.695469,,,Nagaur,0,0,44
hospital,"Government Hospital, Bodwa",27.075125,73.952762,NH58,,Nagaur,1,0,44
hospital,Government Hospital Taausar,27.159945,73.73881,Nagaur Bypass,,Nagaur,1,0,44
hospital,"Government Hospital, Aau",27.2037579,72.8468997,MDR35,,Jodhpur(Rural),1,0,12
hospital,District Hospital Nagaur,27.225521,73.696839,NH62,,Nagaur,13,0,44
hospital,Global Hospital and Research Centre,28.045593,73.327816,Lalgarh link SH 3,Lalgarh,Bikaner,3,2,150
hospital,Goodwill Eye & General Hospital,28.0003042,73.3297509,Sudarshana Nagar,,Bikaner,7,0,150
hospital,Apple Children Hospital,28.020013,73.295303,SH3,,Bikaner,12,0,150
hospital,Dhanvantari Hospital,28.4882988,73.7387545,SH6A,,Bikaner,5,0,150
hospital,Surana Nursing Home,27.5591689,73.4725798,SH20,,Bikaner,10,0,150
hospital,Bhiwani Hospital,28.0020454,73.345233,Sudarshan Nagar Vallabh Garden Road,,Bikaner,6,0,150
hospital,Rajasthan Nursing Home,28.0016854,73.3230837,NH89,,Bikaner,49,0,150
hospital,Beniwal Hospital,28.0156574,73.33631,NH89,,Bikaner,49,0,150
hospital,Nipun Hospital,27.8495041,72.965051,panchu kishnasar kolayat road,,Bikaner,1,0,150
hospital,Dr. Vijay Tundwal Hospital,28.0228778,73.3769603,Vallabh Garden Road,,Bikaner,3,0,150
hospital,ESI Hospital,28.0234808,73.2878197,SH3,,Bikaner,12,0,150
hospital,Rajasthan Nursing Home,28.0077449,73.3158387,NH89,,Bikaner,49,0,150
hospital,Shri Krishna NeuroSpine and Multispeciality Hospital,28.0102202,73.3436011,Sudarshan Nagar Vallabh Garden Road,,Bikaner,6,0,150
hospital,Shri Ram Hospital,28.0138182,73.3239605,NH89,,Bikaner,49,0,150
hospital,City Hospital,28.4935229,73.7457891,NH62,,Bikaner,13,0,150
hospital,Shubham Nursing Home,28.0221341,73.2995086,SH3,,Bikaner,12,0,150
hospital,Navjeevan Hospital & Research Centre,28.0214033,73.2892907,SH3,,Bikaner,12,0,150
hospital,Kaswan Hospital,28.0140848,73.3287922,NH89,,Bikaner,49,0,150
hospital,Vardaan Hospital,28.0062968,73.3421349,Sudarshan Nagar Vallabh Garden Road,,Bikaner,6,0,150
hospital,Government T.B. Hospital,28.0082,73.327157,NH89,,Bikaner,49,0,150
hospital,Laxmi Hospital,27.5602283,73.4719462,SH20,,Bikaner,10,0,150
hospital,Somani Nursing Home,27.5540286,73.4778353,MDR37,,Bikaner,6,0,150
hospital,Bishnoi Hospital,27.9933071,73.3197725,NH89,Gangashahr,Bikaner,49,9,150
hospital,LN Hospital,27.9865635,73.284444,NH89,Gangashahr,Bikaner,49,9,150
hospital,Balaji Hospital,28.0088122,73.331097,NH89,,Bikaner,49,0,150
hospital,Baheti Eye Hospital,27.5589099,73.4727302,SH20,,Bikaner,10,0,150
hospital,Sanjeevani Hospital,28.0268457,73.302355,SH3,,Bikaner,12,0,150
hospital,New Apollo Hospital and Multi Speciality Centre,28.0150806,73.3233999,NH89,,Bikaner,49,0,150
hospital,Choudhary Eye Hospital and Opticals,28.4836679,73.7439295,SH6A,,Bikaner,5,0,150
hospital,Rawat ENT Hospital,28.0035819,73.3270772,NH89,,Bikaner,49,0,150
hospital,Bikana Hospital & Research Centre,28.0242636,73.2967181,SH3,,Bikaner,12,0,150
hospital,Aarogyam Multi Speciality Hospital,28.011176,73.316046,NH89,,Bikaner,49,0,150
hospital,Mathur Hospital & Research Centre,28.0104227,73.317133,NH89,,Bikaner,49,0,150
hospital,Sugni Devi Jaisraj Baid Hospital and Research Centre,28.006688,73.307952,NH89,,Bikaner,49,0,150
hospital,Floral Hospital,27.9974216,73.3143267,NH89,Gangashahr,Bikaner,49,9,150
hospital,Shanti Memorial Hospital,27.9999227,73.3235193,NH89,,Bikaner,49,0,150
hospital,Rajasthan Naturopathy Hospital,27.9923203,73.3025743,NH89,Gangashahr,Bikaner,49,9,150
hospital,P.M.C.T. Hospital,27.5626662,73.4806281,SH20,,Bikaner,10,0,150
hospital,Soni Hospital,27.5600799,73.472459,SH20,,Bikaner,10,0,150
hospital,Binnani Hospital and IVF Centre,27.9946366,73.3300873,Sudarshana Nagar,,Bikaner,7,0,150
hospital,Dr. Shyam Agrawal Child Care Hospital,28.0220392,73.2974431,SH3,,Bikaner,12,0,150
