Amenity Type,Name,Latitude,Longitude,road,suburb,state_district,road_count,suburb_count,district_count,scaled_suburb,population
cafe,Sagar Ratna,28.4743748,77.4814775,Noida-Greater Noida Expressway,,Gautam Buddha Nagar,13,0,70,0.0,13070
cafe,Red Chillies,28.4742994,77.4814775,Noida-Greater Noida Expressway,,Gautam Buddha Nagar,13,0,70,0.0,13070
cafe,Coffee Day Express,28.4735921,77.4841489,Noida-Greater Noida Expressway,,Gautam Buddha Nagar,13,0,70,0.0,13070
cafe,Nescafe,28.4730922,77.4832263,Noida-Greater Noida Expressway,,Gautam Buddha Nagar,13,0,70,0.0,13070
cafe,Cafe Coffee Day,28.5557074,77.2185983,Siri Fort Road,,South Delhi,2,0,231,0.0,2231
cafe,Madan Café,28.6407272,77.2111472,Main Bazar Road,Paharganj,Central Delhi,9,16,99,2.1621621621621623,9101
cafe,Cheela Cafe,28.5391092,77.1322417,Abdul Gaffar Khan Marg,,,12,0,0,0.0,12000
cafe,Starbucks,28.6321974,77.2177075,Radial Road 2,Connaught Place,,2,74,0,10.0,2010
cafe,Cafe Turtle,28.6002007,77.2273465,Khan Market,Chanakya Puri Tehsil,,7,56,0,7.567567567567568,7007
cafe,Starbucks,28.5681853,77.2192919,Mahatma Gandhi Marg,South Extension,South East Delhi,24,10,189,1.3513513513513513,24190
cafe,Cafe Diva,28.5566315,77.233279,Hansraj Gupta Marg,,South East Delhi,2,0,189,0.0,2189
cafe,Starbucks,28.5496836,77.2363971,Green Lane,,South East Delhi,3,0,189,0.0,3189
cafe,Cafe Coffee Day,28.5234052,77.2076313,Saket Road,Saket,South Delhi,8,25,231,3.3783783783783785,8234
cafe,Madras Coffee House,28.6318506,77.2163093,Outer Circle,Connaught Place,,28,74,0,10.0,28010
cafe,Cafe Coffee Day,28.5278854,77.2502591,Alaknanda Road,Alaknanda,South East Delhi,5,20,189,2.7027027027027026,5191
cafe,Wagh Bakri Tea Lounge,28.5336384,77.2442419,Road Number 5,Alaknanda,South East Delhi,11,20,189,2.7027027027027026,11191
