Starting Node ID,Ending Node ID,Distance Vector X,Distance Vector Y,Distance
100,22,0.002154504761907816,-0.0009424303088820807,0.002351609163144044
100,78,-0.0020937441269808232,-0.0016640868254000907,0.0026744998470250173
100,60,0.0010383693452418186,-0.002896781547619298,0.003077264082227195
8,131,-0.000701124999999081,-0.001594559210531088,0.0017418941820653852
8,56,-0.0011297047619045486,-0.00394439373432931,0.004102983643701999
8,109,0.001115608333332574,0.0040740824561424915,0.004224065554989544
78,0,-0.0024433374747481196,-0.0010698170707001964,0.0026672844955628688
78,100,0.0020937441269808232,0.0016640868254000907,0.0026744998470250173
78,60,0.003132113472222642,-0.0012326947222192075,0.0033659576766598928
56,131,0.00042857976190546765,0.002349834523798222,0.0023885985224706484
56,8,0.0011297047619045486,0.00394439373432931,0.004102983643701999
56,139,0.005061604761902316,0.00013712952380728893,0.005063461984849083
131,8,0.000701124999999081,0.001594559210531088,0.0017418941820653852
131,56,-0.00042857976190546765,-0.002349834523798222,0.0023885985224706484
131,139,0.004633024999996849,-0.002212704999990933,0.0051342948948790105
22,60,-0.0011161354166659976,-0.0019543512387372175,0.0022506103689199242
22,100,-0.002154504761907816,0.0009424303088820807,0.002351609163144044
22,33,-0.000306428205128384,-0.0034700669438620935,0.0034835704155051343
6,42,0.007819105789469205,0.0029842121052610082,0.008369225605520333
6,71,-0.008723334210529288,-0.005597357894728816,0.010364698507446979
6,64,-0.010069484210529112,0.003955392105254418,0.010818485983371429
15,136,0.004943511111108023,0.0002476777777786765,0.004949711747895413
15,107,-0.0023073555555619407,-0.00513808888888434,0.005632392661192867
15,64,0.0064088444444401205,0.00571331111110851,0.008585756283831202
80,143,-0.0036461755555556863,0.003862004444442846,0.005311278048721241
80,9,0.004081994444444348,0.004346061111107247,0.005962459712732094
80,120,-0.0061190081871345114,-0.0008416608187218344,0.006176621578823709
45,134,-0.002243316666664441,0.00021533761903924642,0.0022536281763210074
45,33,0.0019313051282061622,0.0011791617948659905,0.0022628216979486042
45,60,0.0011215979166685486,0.0026948774999908665,0.00291896327942512
0,78,0.0024433374747481196,0.0010698170707001964,0.0026672844955628688
