Amenity Type,Name,Latitude,Longitude
restaurant,New Baba,25.3049914,83.0081620
restaurant,The Keshari,25.3092903,83.0076598
restaurant,Ganga Fuji,25.3096482,83.0109745
restaurant,Megu Cafe,25.3103371,83.0098353
restaurant,Shiva Restaurant,25.2884268,83.0038878
restaurant,Shree Café,25.3079671,83.0100512
restaurant,Nepali,25.3083577,83.0096147
restaurant,Banarasi Tadka,25.2911600,83.0043433
restaurant,Kashi Chat,25.3093540,83.0062499
restaurant,Roma's Cafe Diner,25.2812969,83.0031147
restaurant,Salt & Pepper Food Hun,25.2941027,83.0047932
restaurant,Royal,25.3347023,82.9798741
restaurant,Shakti dhaba,25.2965602,82.4048177
restaurant,Aum Cafe - Organic Food 10/10!,25.2893630,83.0056019
restaurant,Kapachino,25.3042274,83.0075314
restaurant,Raga cafe,25.3111700,83.0134979
restaurant,Everest Cafe Momo Corner Restaurant,25.2968027,83.0070471
restaurant,Reliance,24.9798795,83.8824010
restaurant,Itihaas-Alley Restaurant,25.2883186,83.0042819
restaurant,Angeethee Resturant,25.2872587,83.0050150
restaurant,Pritam Lal and Company,25.2304125,83.9202952
restaurant,BBC restaurant and hotel,25.2787574,83.0025286
restaurant,Dolphin Restaurant,25.3081958,83.0111787
restaurant,Sha,25.3133005,83.0046481
restaurant,Carvaan Cafe & Restaurant,25.2881951,83.0052254
restaurant,Deena Chat Bhandar,25.3090691,83.0023133
restaurant,Hangout,25.2938130,83.0000413
restaurant,Kerala Ganges,25.3087471,83.0115043
restaurant,Canton Royale Restaurant,25.3390821,82.9799160
restaurant,Sagar Ratna,25.2813819,83.0032224
restaurant,Bindass Restaurant,25.2623493,82.9816430
restaurant,k p restaurant,25.8595265,83.8581810
restaurant,Sri Annapurna Restaurent,25.3099294,82.9887763
restaurant,Pind Baluchi,25.3089162,82.9909262
restaurant,Pink - The Colour Cafe,25.3089194,82.9909466
restaurant,Kasora Restaurant,25.3010722,82.9558356
restaurant,Chicago Pizza,25.3006423,82.9692811
restaurant,Bengal Sweet House,25.2840040,82.9693379
restaurant,Rasna Family Restaurant,25.3070834,82.9919506
restaurant,Kovil Restaurant,25.3119674,82.9867677
restaurant,The Yellow Chilli,25.3055163,82.9810198
restaurant,Ambrosia,25.2777473,82.9672239
restaurant,Mehfil,25.2866939,83.0017022
restaurant,Banaras Sweet House and Bhojanalaya,25.2789746,82.9987794
restaurant,Capsicum,25.2802842,83.0026685
restaurant,VNS Live Studio,25.3182588,82.9916193
restaurant,Wife on Leave,25.3211342,82.9911781
restaurant,Machan,25.2877642,82.9692105
restaurant,The Taste Factory,25.3058219,82.9859362
restaurant,Ksheer Sagar,25.3113365,82.9892046
restaurant,Crystal Bowl,25.2903842,83.0018114
restaurant,Ksheer Sagar,25.2932557,83.0024791
restaurant,Parthos,25.3052140,82.9792966
restaurant,Ksheer Sagar,25.3161738,82.9678179
restaurant,Bhagirathi Food Plaza,25.2893311,82.9694725
restaurant,Banaras Sweet House,25.2691284,82.9826179
restaurant,Singh's Delight Restaurant,25.2615400,82.9814667
restaurant,Subway Varanasi,25.2947217,83.0001728
restaurant,Ice dew ice cream,25.2950226,83.0005599
restaurant,The Arabic Cafe,25.2949796,83.0006753
restaurant,Nonsense Fast Food,25.2965454,82.9991854
restaurant,breakfast centre,25.0182224,82.3601259
restaurant,शिवांगी लंच हाउस,25.3053215,82.9925403
restaurant,Shanti Restaurant,25.3048518,83.0077197
restaurant,Jyoti Cafe,25.3056593,83.0086228
restaurant,AM 2 PM Restaurant,25.2595214,82.9815196
restaurant,Relish Scoop Bar and Cafe,25.2634152,82.9817206
restaurant,Clock Tower,26.2753215,82.4711415
restaurant,Underground Cafe,26.2752273,82.4714497
restaurant,Abhisek Fastfood Corner,26.2714313,82.4679498
restaurant,Cimaya,25.2638528,82.9815187
restaurant,kavyanjali sweet house,25.2635938,82.9816088
restaurant,sheik chill small shop,25.2635759,82.9816356
restaurant,foodie friend's,25.2649386,82.9817699
restaurant,NH 56 hotel,25.3546362,82.9656729
restaurant,sagar bhojanalay,25.3547741,82.9660329
restaurant,dosa crush,25.3546180,82.9660590
restaurant,mahadev nariyal pani,25.3546448,82.9655978
restaurant,new lucknow biryani,25.3545406,82.9660654
restaurant,KVS (food court),25.2636939,82.9815272
restaurant,champaran meat house,25.2635514,82.9816600
restaurant,Sangam Bhauri Chokha Corner,26.2713297,82.4674623
restaurant,Kashi Restaurant,25.2799400,82.9922718
restaurant,Paprika Food Court,25.2796698,83.0030165
restaurant,Sunbeam Bhagwanpur Canteen,25.2732741,83.0013881
restaurant,Banarsi Biryani,25.2894898,83.0013967
restaurant,Chicken Shwawarma Wala,25.2894782,83.0013667
restaurant,Aman-e-Khas,25.2970064,83.0023604
restaurant,Western Street n Cafe,25.2881654,83.0014010
restaurant,Champaran Meat House,25.2883900,83.0017394
restaurant,Waah Mumbai!,25.2911695,83.0013304
restaurant,Lucky Restaurent,26.3131277,82.7334572
restaurant,Anu food,26.3126076,82.7416851
restaurant,Raj bhojnalya,26.3091471,82.7429973
restaurant,G,26.3117197,82.7337101
restaurant,Nate Bhoj,26.3091850,82.7426841
restaurant,Anand food,26.3132223,82.7350224
restaurant,Tasty foody,26.3128732,82.7391876
restaurant,AM2PM RESTAURANT,25.2602834,82.9815127
restaurant,*,26.3146034,82.7347176
restaurant,masti,26.3150284,82.7426925
restaurant,Raju Dhaba,26.3141557,82.7391961
restaurant,Masala Restaurent,26.3134044,82.7376214
restaurant,Yadav restaurent,26.3101640,82.7368172
restaurant,Lata food,26.3078873,82.7368764
restaurant,Swadistya,26.3088435,82.7380955
restaurant,YUM,26.3082060,82.7408724
restaurant,Popular Bati Chokha,25.3115714,82.9877375
restaurant,Pizza Hut,25.3357406,82.9776527
restaurant,Barbeque Nation,25.3356607,82.9774700
restaurant,EC RESTURANT 2,25.2629243,82.9908500
restaurant,NEW CAFE AND RESTURANT,25.2606975,82.9914443
restaurant,Awantika Restaurant,26.2654591,82.0733727
restaurant,La pino'z pizza,26.2641184,82.0744097
restaurant,Shrvn Bati Choke,26.2632883,82.0713928
restaurant,Khawaza fire works,26.2609116,82.0731751
restaurant,Rahul Special Momos,26.2640745,82.0740397
restaurant,Janta restaurant,26.2754207,82.0775066
restaurant,Dhaba Special,25.2666213,82.4916082
restaurant,Luv Kush,25.2998813,83.0022412
restaurant,Sol Cafe by Mark's Cafe-Diner,25.3033865,83.0082679
college,MM PG College,26.3070818,83.0795827
college,GDBinani PG College Mirzapur,25.1347712,82.5837674
college,Mahabodhi International College,25.3783973,83.0284798
college,Banaras Hindu University (BHU) Rajiv Gandhi South Campus,25.0474623,82.5955628
college,St Anthony Inter College,25.9220681,81.9871872
college,KP Hindu Inter College,25.9245794,81.9958664
college,DAV Inter College,25.9153964,81.9857777
college,संपूर्णानंद संस्कृत विश्वविद्यालय,25.3303886,82.9978847
college,HCPG COLLEGE,25.3198258,83.0123819
college,school,25.3167154,82.9760693
college,Tulsi Niketan Balika inter college,25.3450274,82.9938601
college,har har mahadev mahila mahavidhalay,25.2036864,83.0722071
college,Rajputana Ground,25.2623596,82.9857740
college,kashi krishak inter college,25.3746276,82.9156980
college,HERITAGE COLLEGE OF NURSING,25.2782809,83.0040800
college,Radiant College,26.3111095,82.7322860
kindergarten,Fancier Kids,25.2872422,83.0042721
library,साइबर लाइब्रेरी,25.2689057,82.9930785
library,Vivekananda Library,26.3143395,82.7422626
library,Study IQ,26.3069148,82.7371449
library,Focus,26.3145414,82.7328641
library,Vinaayak Mehta Library,26.2642691,82.0750796
library,GIC LIBRARY,26.2635463,82.0717077
school,High School,25.4297882,83.6153342
school,sun rise public school,25.4287613,83.6200754
school,Poorva Madhyamik Vidyalaya,26.0117004,82.6200762
school,VIDDESWAR ACADMY,26.2653894,82.6694487
school,public shool,25.2903508,83.0047674
school,Little Pearls Modern School,25.7267139,83.9380742
school,Martha Root Montessori School,25.3361135,82.9764097
school,Sarswan Middle School,26.2547775,82.4913004
school,Sarswan Primary School,26.2506935,82.4888657
school,Ram Baran Singh Mahila Maha Vidyalaya,26.2652428,82.4900412
school,Swarg. Raj Singh Inter Collage (Janta Inter Collage),26.2100234,82.2161681
school,St. Thomas School Gyanpur,25.3416207,82.4801506
school,ज्ञानदीप अकादमी,25.2674852,82.9659680
school,Primary school,25.8609621,83.8748265
school,R P mission school,25.8628099,83.8583557
school,Mathra degree college,25.8565084,83.8638692
school,saroj royal academy,25.8614922,83.8548637
school,saroj royal academy,25.8607353,83.8588462
school,Oxford street convent school,25.3429537,82.9966609
school,Little lions school,25.3426135,82.9977301
school,J R S Coaching,25.3451685,82.9939255
school,Primary school,24.6942622,83.0622589
school,Nice Computer Education,25.2883613,82.9697871
school,कैटजी,25.3043355,82.9788384
school,Abhay mahavidyalaya,25.3699506,82.9171311
school,Sant Atulanand Convent School,25.3704954,82.9183193
school,the pathshala school,25.3624052,82.9325662
school,basant balika govt school,25.3625245,82.9373073
school,sant atulanand  convent school,25.3535677,82.9659655
school,jaipuria school,25.3625149,82.9369225
school,upsc exam ankit NvS SNY ji,25.3622599,82.9373831
school,abacus n abacus,25.3541058,82.9667212
school,the sunnrise school,25.3547101,82.9669677
school,Scholar's Home Bal Siksha Sansthan,26.2732341,82.4698801
school,Sunbeam Bhagwanpur Grounds,25.2731346,83.0015980
school,Narendra Inter college,26.3088283,82.7333133
school,DD Central,26.3087999,82.7339906
school,RUNNING GROUND,25.2585849,82.9896612
school,Saraybhogi primary school,25.7712723,82.3290009
university,Indian Institute of Technology (BHU),25.2621544,82.9925896
university,GYMKHANA GROUND,25.2586098,82.9902383
university,NAKLI GROUND,25.2583127,82.9907650
vehicle_inspection,Mahindra Raj India Auto - SUV and Commercial ....,25.3746904,82.9163029
vehicle_inspection,RAJ INDIA PVT LTD mahindra workshop,25.3747417,82.9162350
ferry_terminal,Dasaswamedh Ghat,25.3063243,83.0103739
ferry_terminal,Ramnagar,25.2718076,83.0229253
fuel,Indian Oil,25.9283187,83.5711021
fuel,Indian Oil,25.9348177,83.5669181
fuel,Indian Oil,25.9633105,83.5803692
fuel,Bharat Petrolium,26.1196790,83.8590517
fuel,Indian Oil,25.5417224,83.2665963
fuel,Indian Oil,25.5449342,83.3304886
fuel,Indian Oil,25.5459651,83.3768475
fuel,HP,25.5670770,83.4707863
fuel,Bharat Petrolium,25.5786498,83.5035431
fuel,Indian Oil,25.5783509,83.5573436
fuel,Bharat Petrolium,25.6283152,83.5661881
fuel,IBP,25.6796435,83.5485398
fuel,Indian Oil,25.7293344,83.5458034
fuel,IBP,25.7706176,83.5536783
fuel,Indian Oil,25.8325808,83.5579199
fuel,NRL,25.8909632,83.5604840
fuel,Indian Oil,25.8987875,83.5611688
fuel,Indian Oil,25.4637202,83.1183409
fuel,Indian Oil,25.5408428,83.1870583
fuel,Indian Oil,25.5403315,83.2115250
fuel,IBP,25.5407830,83.2205785
fuel,Bharat Petrolium,25.4478976,83.0312858
fuel,Bharat Petrolium,25.9438383,83.5689208
fuel,Essar,25.9145034,83.9449268
fuel,Shakuntala Filling Station,25.1737096,83.0991292
fuel,Indian Oil Petrol Pump,25.3050048,82.9811121
fuel,Indian Oil,25.2977678,83.0020662
fuel,Indian Oil,25.3117109,82.9885717
fuel,Binarat Petroleum,25.3111057,82.9888223
fuel,HP,25.3183391,82.9881765
fuel,Indian Oil,25.1021139,83.7106807
fuel,Indian Oil (Bihar Oil Agency),25.1334272,83.6658990
fuel,Essar,25.4183563,82.0160124
fuel,Petrol Pump,25.2848795,83.0023419
fuel,Petrol Pump,25.2774869,83.0054510
fuel,Indian Oil Petrol Pump,25.2941304,83.0000956
fuel,Indian Oil,25.8623852,83.8543552
fuel,Tulsi petroleum,25.8667743,83.8571871
fuel,Indian Oil,25.3454544,82.9941786
fuel,Indian Oil Petrol Pump,25.1509743,82.3388427
fuel,Essar Petrol Pump,25.3010041,82.9542855
fuel,Bharat Petroleum,25.2833874,82.9754984
fuel,Vijay,25.7867525,82.2316079
fuel,Indian Oil Petrol Pump,25.2484958,82.9623644
fuel,Indian Oil Petrol Pump,25.2675440,82.9946423
fuel,सरस्वती पेट्रोल पंप एवं सी.एन.जी. फीलिंग,25.2672101,82.9660906
fuel,Indian Oil,25.3683821,82.9279175
fuel,GHANSHYAM PETROL PUMP,25.3510857,82.2285834
fuel,INDIAN OIL,25.3405993,82.2541342
fuel,Bharat Petroleum,25.2802163,82.9874745
fuel,Indian Oil,25.2835546,82.9721273
fuel,HP Petrol Pump Sarju Prasad Sarju Prasad Mahabir Prasad,26.2651535,82.0725631
taxi,Rajesultanpur Taxi Stand,26.3042343,83.0795069
taxi,Shared tuk tuk to Varanasi Jct (Cantt) Station,25.3093104,83.0034720
taxi,AUTO STAND,25.2653598,82.9898452
taxi,SATISH DHAWAN CYCLE SATND,25.2637613,82.9841309
atm,Union Bank of India,26.1283955,83.7392706
atm,State Bank of India,25.3000645,82.9729878
atm,SBI ATM,26.3070093,83.0766621
atm,State Bank ATM,25.3091490,83.0067144
atm,State Bank of India,25.3172234,82.9911145
atm,Punjab National Bank ATM,25.2315813,83.9215756
atm,IndiaOne ATM,25.2319598,83.9215220
atm,State Bank ATM,25.2316041,83.9199221
atm,ICICI Bank,25.3386245,82.9817590
atm,HDFC Bank,25.3386420,82.9817789
atm,State Bank of India,25.3453057,82.9941765
atm,State Bank of India,25.3456489,82.9941807
atm,State Bank of India,25.3513580,82.9935332
atm,Bank of India ATM,25.3093898,83.0030173
atm,State Bank of India,25.5124799,83.8940971
atm,Union Bank Of India Atm,25.2606833,82.9816495
atm,Punjab national bank,25.2608874,82.9816249
bank,HDFC Bank,25.9269104,83.5661857
bank,State Bank of India,25.9300451,83.5666861
bank,UBI,26.2932522,83.0925814
bank,State Bank of India,25.3172343,82.9911970
bank,Union Bank,25.3380613,82.9804377
bank,State Bank of India,25.2593349,82.9934338
bank,Punjab National Bank,25.2767178,82.9877373
bank,Bank of Baroda,25.2778038,82.9989742
bank,Axis Bank,25.2812380,83.0032025
bank,Utkarsh small finance bank,25.8583364,83.8617001
bank,Bank of Baroda,25.8576663,83.8619426
bank,State Bank of India,25.8579013,83.8549485
bank,Punjab National Bank,25.8580896,83.8517705
bank,utkars small finance Bank ltd,25.8573095,83.8545943
bank,central bank,25.8627125,83.8524132
bank,sbi bank,25.8626121,83.8518682
bank,Kashi Gomti samyut gramin bank,25.3452467,82.9939213
bank,Allahabad Bank,25.2497947,82.9933808
bank,ICICI Bank,25.3111360,82.9862744
bank,Bank of India,25.3028729,82.9746002
bank,State Bank of India,25.3043984,82.9779720
bank,HDFC Bank,25.3071357,82.9908639
bank,Union Bank of India,25.3071065,82.9911615
bank,First IDFC Bank,25.2867485,83.0020165
bank,Bank of Baroda,25.3097717,82.9896733
bank,Bank of Baroda,25.3102527,82.9894139
bank,HDFC Bank,25.3095044,83.0033371
bank,Bank of India,25.3105427,82.9890026
bank,HDFC Bank,25.3112313,82.9891875
bank,State Bank of India,25.2845620,82.9597102
bank,State Bank of India,25.3082715,82.9912489
bank,Vijaya Bank,25.3073061,82.9941706
bank,UCO Bank,24.6910738,83.0622341
bank,Bank of Baroda,24.6891665,83.0709828
bank,"ALLAHABAD BANK, BC BRANCH NEW COLONY",24.6893298,83.0740325
bank,Canara Bank,24.6954319,83.0654239
bank,HDFC Bank,24.6893006,83.0612424
bank,Punjab National Bank,24.6874728,83.0622938
bank,State Bank of India,24.6830080,83.0649331
bank,ICICI Bank,24.6836563,83.0635330
bank,Bank of Baroda,25.2946849,83.0007772
bank,State Bank of India lalganj branch,25.0190209,82.3628360
bank,SBI ATM,25.2874604,82.9444834
bank,BOB ATM,25.2874546,82.9443257
bank,स्टेट बैंक ऑफ इंडिया,25.2675683,82.9662411
bank,Axis bank branch,25.3734307,82.9188949
bank,INDIAN OVERSEAS BANK,25.3711535,82.9225816
bank,State Bank of India,24.9983342,82.0757170
bank,ICICI bank,25.3673535,82.9287060
bank,union school of india,25.3536914,82.9655370
bank,Union Bank of India,25.4713100,83.2497737
bank,Punjab National Bank,26.2720615,82.4689125
bank,Shubham Banking Seva Kendra,26.2730429,82.4699582
bank,SBI,26.2703444,82.4690031
bank,Punjab National Bank of Dostpur,26.2702763,82.4692681
bank,State Bank of India,26.3104868,82.7345646
bank,PNB,26.3093032,82.7411386
bank,Maharashtra Bank,26.3098058,82.7345057
bank,Bank of Baroda,26.2639163,82.0742575
clinic,The Apolo Clinic,25.3041865,82.9784124
clinic,Agir pour Benares,25.2965543,83.0058046
clinic,"Pooja Nursing Home, Kaimur (Bhabua)",25.2887000,83.5278967
clinic,Dr.Awinash Clinic,25.1716198,83.6196336
clinic,Ujjwal Nursing Home,25.0468894,83.7942588
clinic,Bk Nursing Home,25.3901604,82.5673360
clinic,Kunwar Das Sewashram Nursing Home,25.7355930,82.6994187
clinic,Ramakant Hospital,24.5184316,83.0270827
clinic,Ashutosh Maternity And Nursing Home,25.2859572,83.1136657
clinic,Rajhans Nursing Home,25.3868750,82.5805774
clinic,Narayan Nursing Home,25.7468347,82.6938939
clinic,Adarsh Clinic and Surgical Center,25.4125248,82.0312985
clinic,Vandna Nursing Home,25.9217757,83.5664709
clinic,Haribandhu Fracture Clinic Pvt Ltd.,25.3502193,83.0226852
clinic,Life Line Medical and Surgical Health Care Center,25.5808248,83.5801274
clinic,Charu Nursing Home,25.9172500,81.9930951
clinic,Prema Nursing Home and Shri Hari Surgical Research Centre,26.0286596,83.3883896
clinic,Sardar Nursing Home,26.2555240,82.0630310
clinic,J.P. Hospital and Surgical Centre,25.2890796,82.9708877
clinic,"Kamala Nursing Home, Varanasi",25.2596764,83.0338507
clinic,"Ashirvad Nursing Home, Chandauli",25.2760437,83.1357282
clinic,Baba Clinic and Nursing Home,25.2620454,83.2630181
clinic,Prince Clinic and Nursing Home,25.3274904,82.9914415
clinic,Santusti Nursing and Surgical Centre,25.3987077,82.5677691
clinic,Dr. S.Nath Memorial Eye Clinic Phaco and Laser Centre,25.3230301,83.0010518
clinic,Kalptaru Chikitsalya,25.7454716,82.6816966
clinic,Shiv Surgical Hospital And Medical College,25.3588766,83.0135543
clinic,Nirmal Nursing Home,25.4757592,82.5690023
clinic,Agarwal Nursing Home,25.9217322,83.5680239
clinic,"Rajendra Nursing Home and Dental Clinic, Varanasi",25.3540830,82.9825312
clinic,Sangeeta Nursing Home,25.7279201,82.6898500
clinic,Vishal Medicare Centre,25.4615794,82.4083479
clinic,Arogyaneer Diagnostic Clinic,25.5931466,82.9993722
clinic,The Fractures Clinic and Trauma Hospital,25.3032363,82.9764466
clinic,Adarsh Nursing Home,25.2833258,82.9730503
clinic,Sneha Nursing Home,26.2668388,83.5054453
clinic,"Rahul Nursing Home, Mau",25.9226106,83.5668521
clinic,"Samarpan Hospital, Varanasi",25.3507187,82.9762280
clinic,"Sri Sai Nursing Home, Varanasi",25.3344185,82.7890876
clinic,Shanti Nursing Home,26.0538456,83.1828117
clinic,"Chandra Nursing Home, Varanasi",25.3275898,83.0027376
clinic,Arogyam Piyush Clinic,25.3661363,83.0061950
clinic,Shivam Maternity and Nursing Home,25.3530274,82.9819612
